num,text,bytes
1,grinning face,<f0><9f><98><80>
2,grinning face with big eyes,<f0><9f><98><83>
3,grinning face with smiling eyes,<f0><9f><98><84>
4,beaming face with smiling eyes,<f0><9f><98><81>
5,grinning squinting face,<f0><9f><98><86>
6,grinning face with sweat,<f0><9f><98><85>
7,rolling on the floor laughing,<f0><9f><a4><a3>
8,face with tears of joy,<f0><9f><98><82>
9,slightly smiling face,<f0><9f><99><82>
10,upside-down face,<f0><9f><99><83>
11,melting face,<f0><9f><ab><a0>
12,winking face,<f0><9f><98><89>
13,smiling face with smiling eyes,<f0><9f><98><8a>
14,smiling face with halo,<f0><9f><98><87>
15,smiling face with hearts,<f0><9f><a5><b0>
16,smiling face with heart-eyes,<f0><9f><98><8d>
17,star-struck,<f0><9f><a4><a9>
18,face blowing a kiss,<f0><9f><98><98>
19,kissing face,<f0><9f><98><97>
20,smiling face,<e2><98><ba>
21,kissing face with closed eyes,<f0><9f><98><9a>
22,kissing face with smiling eyes,<f0><9f><98><99>
23,smiling face with tear,<f0><9f><a5><b2>
24,face savoring food,<f0><9f><98><8b>
25,face with tongue,<f0><9f><98><9b>
26,winking face with tongue,<f0><9f><98><9c>
27,zany face,<f0><9f><a4><aa>
28,squinting face with tongue,<f0><9f><98><9d>
29,money-mouth face,<f0><9f><a4><91>
30,smiling face with open hands,<f0><9f><a4><97>
31,face with hand over mouth,<f0><9f><a4><ad>
32,face with open eyes and hand over mouth,<f0><9f><ab><a2>
33,face with peeking eye,<f0><9f><ab><a3>
34,shushing face,<f0><9f><a4><ab>
35,thinking face,<f0><9f><a4><94>
36,saluting face,<f0><9f><ab><a1>
37,zipper-mouth face,<f0><9f><a4><90>
38,face with raised eyebrow,<f0><9f><a4><a8>
39,neutral face,<f0><9f><98><90>
40,expressionless face,<f0><9f><98><91>
41,face without mouth,<f0><9f><98><b6>
42,dotted line face,<f0><9f><ab><a5>
43,face in clouds,<f0><9f><98><b6><e2><80><8d><f0><9f><8c><ab><ef><b8><8f>
44,smirking face,<f0><9f><98><8f>
45,unamused face,<f0><9f><98><92>
46,face with rolling eyes,<f0><9f><99><84>
47,grimacing face,<f0><9f><98><ac>
48,face exhaling,<f0><9f><98><ae><e2><80><8d><f0><9f><92><a8>
49,lying face,<f0><9f><a4><a5>
50,shaking face,<f0><9f><ab><a8>
51,head shaking horizontally,<f0><9f><99><82><e2><80><8d><e2><86><94><ef><b8><8f>
52,head shaking vertically,<f0><9f><99><82><e2><80><8d><e2><86><95><ef><b8><8f>
53,relieved face,<f0><9f><98><8c>
54,pensive face,<f0><9f><98><94>
55,sleepy face,<f0><9f><98><aa>
56,drooling face,<f0><9f><a4><a4>
57,sleeping face,<f0><9f><98><b4>
58,face with medical mask,<f0><9f><98><b7>
59,face with thermometer,<f0><9f><a4><92>
60,face with head-bandage,<f0><9f><a4><95>
61,nauseated face,<f0><9f><a4><a2>
62,face vomiting,<f0><9f><a4><ae>
63,sneezing face,<f0><9f><a4><a7>
64,hot face,<f0><9f><a5><b5>
65,cold face,<f0><9f><a5><b6>
66,woozy face,<f0><9f><a5><b4>
67,face with crossed-out eyes,<f0><9f><98><b5>
68,face with spiral eyes,<f0><9f><98><b5><e2><80><8d><f0><9f><92><ab>
69,exploding head,<f0><9f><a4><af>
70,cowboy hat face,<f0><9f><a4><a0>
71,partying face,<f0><9f><a5><b3>
72,disguised face,<f0><9f><a5><b8>
73,smiling face with sunglasses,<f0><9f><98><8e>
74,nerd face,<f0><9f><a4><93>
75,face with monocle,<f0><9f><a7><90>
76,confused face,<f0><9f><98><95>
77,face with diagonal mouth,<f0><9f><ab><a4>
78,worried face,<f0><9f><98><9f>
79,slightly frowning face,<f0><9f><99><81>
80,frowning face,<e2><98><b9>
81,face with open mouth,<f0><9f><98><ae>
82,hushed face,<f0><9f><98><af>
83,astonished face,<f0><9f><98><b2>
84,flushed face,<f0><9f><98><b3>
85,pleading face,<f0><9f><a5><ba>
86,face holding back tears,<f0><9f><a5><b9>
87,frowning face with open mouth,<f0><9f><98><a6>
88,anguished face,<f0><9f><98><a7>
89,fearful face,<f0><9f><98><a8>
90,anxious face with sweat,<f0><9f><98><b0>
